17091200    number of typhoons=  1
number =  1 typh-name= TALIM          
000  21.200 130.700  21.200 130.700  21.200 130.700  21.200 130.700  21.200 130.700
006  21.842 129.410  21.905 129.074  21.940 129.128  21.637 129.440  21.749 128.938
012  22.295 127.714  22.468 127.848  22.523 127.854  22.317 127.609  22.411 127.712
018  22.851 127.233  23.076 126.868  23.097 126.872  22.656 127.020  23.075 126.714
024  23.489 126.567  23.917 125.875  23.930 125.847  24.280 125.622  23.900 125.792
030  24.076 125.817  24.313 124.938  24.311 124.922  24.278 124.132  24.405 124.828
036  24.653 125.146  24.685 124.251  24.679 124.247  24.869 124.898  24.693 124.277
042  25.625 124.223  25.244 123.571  25.237 123.551  25.161 124.466  25.217 123.623
048  26.524 123.254  25.750 123.110  25.722 123.066  26.323 123.960  25.665 123.205
054  26.971 121.914  26.366 122.634  26.359 122.595  27.412 122.154  26.353 122.744
060  26.802 121.415  26.612 122.191  26.624 122.175  26.399 122.806  26.695 122.261
066  27.528 122.024  27.099 121.865  27.096 121.841  27.483 122.083  27.131 121.872
072  27.516 121.187  27.320 121.484  27.319 121.469  27.368 121.667  27.406 121.534
078  27.660 121.397  27.513 121.523  27.519 121.516  27.560 121.517  27.645 121.511
084  27.851 121.649  27.792 121.746  27.790 121.758  27.763 121.791  27.868 121.676
090  28.003 121.706  27.850 121.853  27.834 121.857  27.811 121.889  27.994 122.006
096  28.132 122.618  28.113 122.619  28.101 122.589  28.043 122.658  28.189 122.666
102  28.364 123.284  28.306 123.484  28.279 123.491  28.212 123.552  28.451 123.526
108  28.712 124.743  28.316 124.736  28.300 124.747  28.346 124.818  28.612 124.907
114  29.280 126.517  28.882 126.363  28.869 126.333  28.954 126.383  29.142 126.510
120  30.043 128.005  29.564 127.859  29.494 127.826  30.030 128.035  29.866 128.156
