 FORECAST DATE (16070612) -- 3km
 TYPHOON - NEPARTAK      PS
  0    19.995   126.871   920.280
  6    20.741   125.345   936.147
 12    20.956   123.928   939.720
 18    21.028   122.984   933.326
 24    21.244   122.422   937.503
 30    21.735   121.555   942.541
 36    21.863   120.755   954.864
 42    22.322   120.270   966.185
 48    22.988   119.713   977.221
 54    23.467   119.722   983.488
 60    23.798   118.044   985.013
 66    24.535   117.895   984.551
 72    24.565   117.685   990.379
 78    24.528   116.708   993.701
 84    25.134   116.417   996.382
 90    26.261   117.629   993.833
 96    24.692   118.231   996.053
102    26.129   119.643   992.423
108    27.739   120.629   992.832
114    28.911   121.280   992.859
120    29.187   121.656   994.064
best
       20.1     127.0       16070612
       20.7     125.6       16070618
       21.3     124.3       16070700
       21.6     123.4       16070706
       21.9     122.6       16070712
       22.3     121.8       16070718
       22.6     120.6       16070800
       23.2     120.1       16070806
       23.1     119.8       16070812
       23.2     119.6       16070818
       24.3     119.1       16070900
       24.7     118.6       16070906
       99.9
