 FORECAST DATE (15050318) --15km
 TYPHOON - NOUL           PS
  0     9.805   139.632   999.164
  6     9.710   139.635   988.087
 12     9.994   139.292   985.063
 18    10.128   139.149   986.312
 24     9.880   138.648   983.519
 30     9.990   138.499   986.441
 36    10.100   138.132   980.808
 42    10.233   138.072   981.053
 48    10.238   137.778   978.431
 54    10.398   137.241   982.068
 60    10.559   136.617   976.105
 66    11.063   135.787   972.564
 72    11.336   135.051   971.099
 78    11.559   133.815   971.355
 84    11.779   132.901   962.498
 90    11.924   132.037   960.053
 96    12.092   131.221   949.554
102    12.268   130.294   951.347
108    12.503   129.579   947.202
114    12.654   128.675   953.285
120    12.873   127.791   954.718
 FORECAST DATE (15050400) --15km
 TYPHOON - NOUL           PS
  0     9.854   140.218   994.589
  6     9.611   139.812   989.532
 12     9.958   139.506   990.465
 18     9.981   139.280   988.229
 24     9.736   138.989   989.490
 30     9.776   138.655   983.291
 36    10.038   138.477   981.491
 42    10.084   138.130   977.992
 48    10.117   137.770   981.646
 54    10.387   137.179   972.710
 60    10.678   136.386   973.426
 66    10.871   135.294   968.225
 72    11.137   134.474   970.383
 78    11.496   133.565   964.617
 84    11.818   132.629   968.513
 90    12.014   131.724   959.920
 96    12.286   130.773   962.696
102    12.495   129.773   954.631
108    12.636   128.738   950.904
114    12.678   127.788   947.104
120    12.856   126.810   952.150
 FORECAST DATE (15050406) --15km
 TYPHOON - NOUL           PS
  0     9.453   140.217   996.093
  6     9.973   139.650   987.511
 12     9.858   139.267   984.311
 18     9.968   139.361   987.291
 24    10.196   139.134   984.272
 30    10.350   138.926   984.342
 36    10.126   138.633   984.270
 42    10.372   138.369   985.091
 48    10.542   137.677   979.460
 54    11.094   137.240   976.243
 60    11.352   136.432   971.873
 66    11.590   135.503   973.274
 72    11.983   134.601   963.943
 78    12.284   133.600   964.123
 84    12.682   132.573   959.605
 90    13.025   131.454   964.781
 96    13.275   130.298   962.049
102    13.480   129.311   959.146
108    13.710   128.229   951.604
114    13.934   127.224   951.669
120    14.166   126.319   944.133
 FORECAST DATE (15050412) --15km
 TYPHOON - NOUL           PS
  0     8.829   139.517   994.147
  6     9.452   139.822   989.120
 12     9.472   139.310   989.619
 18     9.833   139.129   984.345
 24     9.815   138.856   988.884
 30     9.533   138.434   989.387
 36     9.475   138.397   991.840
 42     9.765   137.878   984.001
 48     9.845   137.598   976.602
 54    10.090   136.862   967.695
 60    10.388   136.100   969.980
 66    10.767   135.219   968.604
 72    11.115   134.298   968.167
 78    11.271   133.300   969.870
 84    11.441   131.909   969.532
 90    11.608   130.816   963.839
 96    11.688   129.640   968.477
102    11.701   128.505   964.160
108    11.993   127.543   963.869
114    12.166   126.439   954.433
120    12.374   125.367   959.850
 FORECAST DATE (15050418) --15km
 TYPHOON - NOUL           PS
  0     9.375   139.201   987.498
  6     9.362   139.168   984.561
 12     9.568   139.004   985.158
 18     9.726   138.756   992.154
 24     9.907   138.407   989.237
 30     9.616   138.258   993.584
 36     9.851   137.736   988.578
 42    10.219   137.475   987.706
 48    10.570   136.832   976.422
 54    10.792   136.200   979.206
 60    11.091   135.607   973.774
 66    11.515   134.672   979.472
 72    11.885   133.774   977.519
 78    12.132   132.631   975.198
 84    12.392   131.345   971.780
 90    12.594   130.132   975.669
 96    12.482   129.054   969.318
102    12.594   127.889   971.200
108    12.867   126.771   960.059
114    12.995   125.628   949.944
120    13.230   124.587   948.068
 FORECAST DATE (15050500) --15km
 TYPHOON - NOUL           PS
  0     9.413   139.202   987.414
  6     9.401   138.575   988.189
 12     9.625   138.003   989.576
 18     9.675   137.559   986.683
 24     9.763   137.173   987.426
 30     9.883   136.634   984.118
 36    10.165   136.205   982.970
 42    10.384   135.631   981.087
 48    10.797   134.803   986.410
 54    11.437   134.090   981.899
 60    11.856   133.368   986.419
 66    12.240   132.047   977.972
 72    12.676   131.129   984.075
 78    12.818   129.567   977.746
 84    13.077   128.674   979.640
 90    13.330   127.289   979.757
 96    13.656   126.073   983.599
102    13.708   124.901   977.532
108    13.801   123.777   973.403
114    13.939   122.702   971.099
120    14.306   121.641   980.495
 FORECAST DATE (15050506) --15km
 TYPHOON - NOUL           PS
  0     9.348   138.656   990.774
  6     9.619   138.395   990.935
 12     9.831   137.700   989.114
 18     9.556   137.256   987.464
 24     9.800   136.919   984.944
 30    10.189   136.052   985.929
 36    10.365   135.431   981.042
 42    10.703   134.527   984.686
 48    11.015   133.833   977.437
 54    11.277   132.993   988.416
 60    11.466   132.320   979.670
 66    11.919   131.211   980.576
 72    12.346   130.182   981.891
 78    12.095   128.762   979.746
 84    12.349   127.565   983.550
 90    12.399   126.187   985.656
