 FORECAST DATE (15050812) --15km
 TYPHOON - NOUL           PS
  0    13.337   128.016   967.731
  6    13.796   127.095   972.039
 12    14.189   125.923   976.604
 18    14.557   124.934   976.449
 24    14.770   124.235   972.978
 30    15.072   123.516   968.916
 36    15.569   123.028   969.992
 42    16.375   122.290   967.754
 48    17.321   121.605   979.724
 54    18.259   120.489   992.864
 60    18.901   120.114   990.692
 66    19.845   120.293   986.221
 72    20.647   120.492   987.662
 78    21.519   121.663   978.452
 84    22.385   122.936   988.545
 90    23.231   124.362   992.559
 96    24.136   125.975   996.169
102    25.255   128.834   997.285
108    25.652   131.510   999.103
114    27.340   133.347  1005.848
120    28.671   137.316  1010.403
 FORECAST DATE (15050818) --15km
 TYPHOON - NOUL           PS
  0    13.851   127.056   976.351
  6    14.237   126.129   976.789
 12    14.752   125.220   979.570
 18    15.073   124.274   978.782
 24    15.356   123.301   980.144
 30    15.662   122.617   984.614
 36    16.655   121.821   991.034
 42    18.117   120.712  1000.715
 48    18.978   120.018   999.429
 54    19.673   120.183   994.979
 60    20.461   120.185   987.038
 66    21.128   120.402   989.161
 72    22.282   121.706   990.122
 78    23.542   123.491   986.665
 84    24.783   125.735   983.223
 90    25.589   127.798  1000.062
 96    26.273   130.066  1001.072
102    27.038   132.527  1006.398
108    28.038   135.929  1005.221
114    29.592   139.457  1010.387
120    29.384   141.068  1010.328
 FORECAST DATE (15050818) --15km
 TYPHOON - NOUL           PS
  0    13.851   127.056   976.351
  6    14.237   126.129   976.789
 12    14.752   125.220   979.570
 18    15.073   124.274   978.782
 24    15.356   123.301   980.144
 30    15.662   122.617   984.614
 36    16.655   121.821   991.034
 42    18.117   120.712  1000.715
 48    18.978   120.018   999.429
 54    19.673   120.183   994.979
 60    20.461   120.185   987.038
 66    21.128   120.402   989.161
 72    22.282   121.706   990.122
 78    23.542   123.491   986.665
 84    24.783   125.735   983.223
 90    25.589   127.798  1000.062
 96    26.273   130.066  1001.072
102    27.038   132.527  1006.398
108    28.038   135.929  1005.221
114    29.592   139.457  1010.387
120    29.384   141.068  1010.328
 FORECAST DATE (15050906) --15km
 TYPHOON - NOUL           PS
  0    14.966   125.215   965.631
  6    15.499   124.505   972.542
 12    15.897   123.945   970.865
 18    16.540   123.477   975.797
 24    17.369   122.891   975.506
 30    18.248   122.324   984.235
 36    18.786   121.718   986.016
 42    19.660   121.957   978.537
 48    20.705   122.247   975.978
 54    22.078   123.096   986.150
 60    23.635   124.470   986.177
 66    25.395   126.499   990.488
 72    27.175   129.228   989.899
 78    29.912   133.756   997.666
 84    32.035   137.510   995.743
 90    36.079   140.636   996.957
 96    39.161   146.926   995.379
102    41.206   148.147   996.213
108    41.206   148.147   996.213
114    41.206   148.147   996.213
120    46.429   146.952   994.567
best
       13.4     128.0       15050812 
       13.9     127.2       15050818 
       14.3     126.4       15050900 
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
