 FORECAST DATE (15050318) --15km
 TYPHOON - NOUL           PS
  0     9.071   140.816   997.495
  6     9.694   140.470   989.742
 12     9.924   139.894   984.187
 18     9.900   139.599   985.470
 24    10.041   139.431   985.242
 30     9.914   139.046   988.913
 36     9.993   139.200   987.935
 42    10.320   138.769   987.529
 48    10.177   138.589   980.763
 54    10.280   138.086   978.984
 60    10.593   137.606   972.284
 66    10.955   136.805   970.105
 72    11.243   136.008   962.959
 78    11.488   135.055   966.997
 84    11.672   133.951   957.221
 90    11.766   132.977   952.175
 96    11.962   132.140   942.980
102    12.212   131.254   946.927
108    12.335   130.257   943.534
114    12.542   129.390   945.358
120    12.740   128.299   944.049
 FORECAST DATE (15050400) --15km
 TYPHOON - NOUL           PS
  0     8.209   140.306   996.493
  6     9.763   140.316   992.540
 12    10.219   139.751   989.941
 18     9.861   139.397   989.611
 24    10.006   139.118   989.308
 30     9.803   138.792   987.902
 36     9.841   138.398   985.992
 42     9.659   138.385   984.407
 48     9.768   137.856   981.205
 54     9.975   137.314   968.619
 60    10.316   136.492   966.572
 66    10.636   135.590   969.381
 72    10.660   134.715   972.708
 78    11.086   133.861   957.618
 84    11.252   132.880   957.864
 90    11.407   131.920   952.288
 96    11.633   131.021   960.270
102    11.880   130.137   948.493
108    12.000   129.233   950.535
114    12.273   128.206   949.253
120    12.548   127.155   953.069
 FORECAST DATE (15050406) --15km
 TYPHOON - NOUL           PS
  0     9.112   140.603   992.229
  6    10.281   140.044   991.399
 12    10.145   139.642   986.405
 18    10.205   139.320   985.679
 24    10.378   139.427   985.539
 30    10.695   139.412   989.128
 36    10.977   138.572   981.057
 42    10.929   138.135   984.520
 48    11.293   137.497   981.026
 54    11.506   136.986   981.162
 60    11.632   135.982   971.738
 66    11.978   135.124   978.277
 72    12.157   134.120   968.816
 78    12.570   133.294   969.828
 84    12.935   132.243   970.268
 90    13.149   131.169   964.820
 96    13.536   130.229   958.425
102    13.858   129.322   954.769
108    14.219   128.309   951.359
114    14.615   127.512   954.106
120    15.163   126.701   944.580
 FORECAST DATE (15050412) --15km
 TYPHOON - NOUL           PS
  0     9.769   139.639   992.994
  6     9.857   139.320   988.150
 12    10.108   139.202   989.085
 18    10.233   138.734   983.575
 24    10.101   138.486   989.295
 30    10.181   138.486   989.127
 36    10.220   137.932   987.441
 42    10.331   137.451   983.003
 48    10.559   136.797   976.071
 54    10.951   136.276   970.092
 60    11.117   135.403   970.444
 66    11.531   134.487   973.933
 72    11.875   133.542   970.758
 78    12.209   132.471   970.375
 84    12.511   131.203   970.042
 90    12.756   129.953   968.214
 96    12.829   128.835   966.544
102    13.040   127.712   959.283
108    13.281   126.679   957.789
114    13.657   125.761   947.841
120    14.086   124.800   947.777
 FORECAST DATE (15050418) --15km
 TYPHOON - NOUL           PS
  0     9.420   139.324   986.015
  6     9.358   139.199   988.668
 12     9.654   138.989   985.403
 18     9.585   138.623   990.697
 24     9.543   138.423   992.888
 30     9.589   138.104   992.400
 36     9.650   137.573   987.566
 42     9.726   137.565   984.124
 48     9.959   137.068   974.056
 54    10.533   136.628   979.330
 60    10.894   135.659   971.666
 66    11.405   134.738   977.909
 72    11.473   133.834   975.631
 78    11.731   132.387   972.972
 84    12.028   131.279   969.153
 90    11.939   130.128   972.003
 96    12.158   128.931   963.542
102    12.270   127.760   964.402
108    12.312   126.528   955.633
114    12.534   125.448   954.378
120    12.718   124.480   955.400
 FORECAST DATE (15050500) --15km
 TYPHOON - NOUL           PS
  0     9.464   139.020   988.519
  6     9.465   138.923   989.250
 12     9.905   138.493   992.926
 18    10.077   137.813   989.636
 24    10.111   137.413   989.985
 30    10.152   137.036   985.883
 36    10.481   136.336   987.677
 42    10.573   136.101   982.109
 48    10.763   135.416   987.057
 54    11.208   134.764   983.863
 60    11.644   134.100   989.648
 66    11.660   132.921   986.496
 72    11.903   131.866   987.040
 78    12.394   131.012   982.812
 84    12.852   129.508   983.725
 90    13.062   128.413   985.683
 96    13.073   126.930   982.090
102    13.442   125.809   979.820
108    13.772   124.724   984.075
114    13.647   123.124   983.871
120    14.041   122.003   990.098
 FORECAST DATE (15050506) --15km
 TYPHOON - NOUL           PS
  0     9.463   139.843   989.447
  6     9.992   138.901   993.871
 12    10.222   138.088   989.966
 18    10.166   137.600   992.757
 24    10.096   137.029   988.924
 30    10.306   136.521   988.437
 36    10.783   135.506   985.458
 42    11.045   134.931   982.806
 48    11.376   134.064   981.918
 54    11.592   133.658   983.153
 60    11.807   132.636   980.765
 66    12.282   131.707   983.311
 72    12.621   130.442   983.795
 78    12.984   129.308   983.638
 84    13.183   127.876   984.916
 90    13.579   126.935   989.839
 96    13.493   125.391   985.013
102    13.516   124.395   985.455
108    13.872   123.175   987.742
114    14.196   122.192   988.576
120    14.367   120.959   987.468
 FORECAST DATE (15050512) --15km
 TYPHOON - NOUL           PS
  0     9.699   138.341   990.012
  6     9.451   137.429   986.458
 12     9.418   136.943   987.332
 18     9.483   136.483   986.237
 24     9.846   135.659   984.831
 30    10.099   135.424   987.125
 36    10.525   134.476   987.932
 42    10.708   134.194   986.275
 48    11.312   133.091   982.612
 54    11.523   132.290   980.443
 60    11.655   130.977   981.741
 66    12.079   130.019   983.430
 72    12.391   129.038   977.567
 78    12.469   127.747   984.752
 84    12.902   126.788   988.568
 90    12.957   125.263   985.712
 96    13.301   124.132   991.821
102    12.881   122.789   985.093
108    13.194   121.796   989.917
114    13.274   120.618   988.118
120    13.707   120.518   984.417
 FORECAST DATE (15050518) --15km
 TYPHOON - NOUL           PS
  0    10.900   139.340   996.971
  6     9.694   138.076   998.971
 12    10.079   137.131   990.034
 18    10.451   136.251   987.473
 24    10.582   135.203   985.447
 30    10.923   134.475   981.840
 36    11.378   134.118   984.487
 42    11.562   132.817   985.910
 48    11.772   131.938   983.292
 54    12.228   130.985   984.051
 60    12.587   130.032   980.203
 66    12.612   128.680   983.527
 72    12.769   127.546   983.989
 78    12.963   126.322   986.420
 84    13.187   125.072   980.777
 90    13.194   124.084   980.716
 96    13.352   122.985   979.124
102    13.522   121.954   978.943
108    13.649   120.982   971.229
114    14.135   120.450   975.393
120    14.505   119.779   968.580
 FORECAST DATE (15050600) --15km
 TYPHOON - NOUL           PS
  0     8.533   137.664   989.938
  6     9.580   137.413   992.754
 12     9.806   135.841   988.432
 18    10.216   134.841   981.027
 24    10.479   134.001   982.458
 30    10.744   132.976   983.230
 36    10.952   132.328   988.759
 42    10.962   131.154   980.987
 48    11.108   130.245   984.092
 54    11.252   129.222   979.690
 60    11.509   128.239   985.080
 66    11.549   127.281   979.838
 72    11.851   126.233   983.539
 78    12.028   125.214   982.393
 84    12.112   124.051   980.637
 90    12.226   122.937   976.542
 96    12.236   121.852   973.270
102    12.478   120.958   970.522
108    12.890   120.188   966.360
114    13.304   119.550   957.103
120    13.710   119.013   949.250
 FORECAST DATE (15050606) --15km
 TYPHOON - NOUL           PS
  0     9.231   136.531   987.410
  6     9.453   135.866   983.108
 12     9.555   134.962   979.703
 18     9.858   134.098   980.617
 24    10.244   133.510   985.874
 30    10.459   132.446   986.474
 36    10.745   131.768   985.049
 42    10.776   130.571   984.206
 48    11.094   129.713   981.269
 54    11.213   128.687   979.854
 60    11.677   127.855   979.958
 66    11.922   126.859   984.023
 72    12.152   125.659   978.031
 78    12.026   124.671   980.261
 84    12.073   123.690   973.127
 90    12.282   122.628   967.046
 96    12.557   121.480   958.269
102    12.868   120.612   968.270
108    13.402   119.851   958.018
114    13.833   119.206   949.430
120    14.406   118.695   948.293
 FORECAST DATE (15050612) --15km
 TYPHOON - NOUL           PS
  0     9.688   135.904   980.772
  6     9.742   134.584   974.010
 12    10.080   133.999   979.457
 18    10.448   132.981   983.011
 24    10.613   132.448   987.156
 30    10.842   131.396   986.878
 36    10.913   130.223   981.727
 42    11.152   129.240   979.474
 48    11.208   128.224   979.483
 54    11.582   127.174   981.391
 60    11.840   126.174   981.157
 66    11.912   124.997   978.968
 72    12.185   124.000   983.045
 78    12.270   122.990   972.206
 84    12.525   121.958   977.415
 90    12.704   120.960   970.825
 96    13.089   120.161   959.327
102    13.607   119.472   953.413
108    14.076   118.937   953.637
114    14.609   118.432   950.006
120    15.217   118.219   957.624
 FORECAST DATE (15050618) --15km
 TYPHOON - NOUL           PS
  0    10.000   134.959   970.664
  6    10.253   134.086   976.607
 12    10.328   132.945   976.778
 18    10.660   132.400   986.888
 24    10.520   131.306   983.953
 30    10.767   130.661   984.270
 36    11.023   129.478   981.056
 42    11.523   128.555   985.866
 48    11.620   127.315   983.622
 54    11.956   126.323   986.163
 60    12.039   125.031   983.018
