 FORECAST DATE (15050906) -- 3km
 TYPHOON - NOUL           PS
  0    14.979   125.244   962.266
  6    15.648   124.539   961.537
 12    15.997   123.947   956.368
 18    16.521   123.578   957.334
 24    17.744   123.203   951.268
 30    18.817   122.536   959.215
 36    19.706   122.207   962.704
 42    20.571   122.428   965.073
 48    21.649   122.917   962.311
 54    23.108   124.052   965.869
 60    24.894   125.914   968.672
 66    26.914   128.514   979.188
 72    29.594   132.243   981.197
 78    32.568   135.401   996.024
 84    32.388   136.961  1006.663
 90    32.388   136.961  1006.663
 96    32.388   136.961  1006.663
102    32.388   136.961  1006.663
108    32.388   136.961  1006.663
114    32.786   131.578  1011.582
120    32.786   131.578  1011.582
best
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
