 FORECAST DATE (15050906) -- 3km
 TYPHOON - NOUL           PS
  0    14.968   125.237   962.494
  6    15.589   124.612   963.596
 12    16.013   124.073   956.982
 18    16.635   123.668   956.790
 24    17.842   123.061   953.604
 30    18.815   122.559   959.952
 36    19.777   122.278   965.202
 42    20.649   122.419   964.319
 48    21.683   123.048   957.299
 54    23.144   124.101   962.565
 60    24.915   125.916   968.560
 66    26.960   128.406   978.703
 72    29.484   132.209   979.146
 78    32.400   135.714   991.117
 84    32.640   136.560  1001.473
 90    32.640   136.560  1001.473
 96    32.640   136.560  1001.473
102    33.036   131.692  1011.414
108    32.793   131.602  1009.473
114    32.792   131.601  1009.656
120    33.213   129.203  5762.439
best
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
