 FORECAST DATE (15050906) -- 3km
 TYPHOON - NOUL           PS
  0    14.984   125.319   960.812
  6    15.676   124.705   955.678
 12    16.186   124.295   952.944
 18    16.767   123.803   949.654
 24    17.742   123.552   948.945
 30    18.755   123.241   952.924
 36    19.942   122.960   962.560
 42    20.890   122.981   968.525
 48    22.086   123.433   968.762
 54    23.481   124.538   980.841
 60    25.496   126.290   985.136
 66    27.699   128.932   990.326
 72    30.292   132.780   986.151
 78    32.777   134.760   990.885
 84    32.777   134.760   990.885
 90    32.777   134.760   990.885
 96    32.777   134.760   990.885
102    32.801   131.561  1010.909
108    33.264   129.158  1010.200
114    33.264   129.158  1010.200
120    33.264   129.158  1010.200
best
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
