 FORECAST DATE (15050318)  WA01    PS
 TYPHOON - NOUL           PSmin  Vmax(m/s) speed(km/hr)
  0     8.909   140.768  1001.905    18.711  -999.000
  6     9.463   140.241  1001.624    23.575    14.075
 12     9.800   139.719   998.929    23.714    11.390
 18     9.993   138.991   999.486    21.996    13.736
 24     9.714   138.569   997.516    23.185     9.260
 30     9.694   138.543   998.373    23.244     0.370
 36    10.000   138.232   994.912    21.566     8.025
 42     9.898   137.795   994.892    25.960     8.211
 48     9.980   137.407   991.673    28.406     7.254
 54    10.131   136.751   992.218    28.302    12.285
 60    10.189   136.059   987.743    29.956    12.655
 66    10.299   135.220   990.158    31.111    15.402
 72    10.303   134.434   987.597    31.863    14.322
 78    10.435   133.385   991.011    32.923    19.261
 84    10.933   132.490   985.791    30.127    18.705
 90    11.228   131.615   986.765    29.686    16.822
 96    11.524   130.675   982.118    32.142    17.934
102    11.630   129.888   983.000    32.393    14.415
108    11.861   129.320   978.839    33.911    11.174
114    12.180   128.469   980.227    33.793    16.483
120    12.466   127.555   977.083    36.073    17.378
 FORECAST DATE (15050400)  WA01    PS
 TYPHOON - NOUL           PSmin  Vmax(m/s) speed(km/hr)
  0     9.215   139.853  1001.793    22.342  -999.000
  6     9.589   139.581   998.666    24.385     8.519
 12     9.776   138.878   998.927    25.268    13.304
 18     9.595   138.245   995.019    26.386    12.038
 24     9.650   138.012   996.588    26.798     4.383
 30     9.721   137.658   992.827    26.739     6.575
 36     9.652   137.090   994.774    27.657    10.464
 42     9.642   136.834   991.949    26.107     4.692
 48     9.888   136.479   992.860    28.253     7.933
 54    10.084   135.727   989.344    29.885    14.199
 60    10.279   135.298   991.866    30.752     8.612
 66    10.554   134.350   990.337    33.160    17.995
 72    10.433   133.434   993.288    30.013    16.822
 78    10.853   132.688   988.544    28.770    15.649
 84    11.386   132.037   989.711    27.870    15.402
 90    11.745   131.162   984.300    29.701    17.224
 96    12.138   130.192   984.544    32.458    19.014
102    12.349   129.359   981.245    32.196    15.557
108    12.580   128.636   981.728    32.409    13.767
114    12.862   127.738   979.214    34.130    17.038
120    13.199   126.849   979.111    36.999    17.193
 FORECAST DATE (15050406)  WA01    PS
 TYPHOON - NOUL           PSmin  Vmax(m/s) speed(km/hr)
  0     9.290   139.738   999.701    20.477  -999.000
  6     9.543   139.293  1000.212    21.548     9.383
 12     9.607   139.102   997.053    24.417     3.673
 18     9.704   138.630   996.866    24.518     8.828
 24     9.701   138.073   993.852    25.191    10.155
 30     9.610   137.802   994.520    25.164     5.216
 36     9.714   137.552   992.318    26.512     4.939
 42     9.895   136.979   993.522    27.847    10.989
 48    10.031   136.502   988.636    28.590     9.044
 54    10.610   135.873   992.158    29.779    15.680
 60    10.665   134.938   990.960    31.720    17.038
 66    10.726   134.201   995.110    27.526    13.458
 72    11.114   133.368   990.489    24.994    16.761
 78    11.526   132.656   991.780    26.329    15.001
